,MOF,Solv_remove,Formula,Type,Node-file
2955,c7ce00956a2_1,FSR,C2Ni2O4,Type-1,c7ce00956a2_1_FSR_pacman_node0
2956,c7ce00956a2_3,ASR,C2Ni2O4,Type-1,c7ce00956a2_3_ASR_pacman_node0
2957,c7ce00956a2_3,FSR,C2Ni2O4,Type-1,c7ce00956a2_3_FSR_pacman_node0
4062,c7ce01133d2_1,ASR,C3O6Zn1,Type-1,c7ce01133d2_1_ASR_pacman_node0
3923,c7ce01133d2_1,FSR,C3H2O7Zn1,Type-1,c7ce01133d2_1_FSR_pacman_node0
5723,c7ce01138e2_3,ASR,C4Cu2O8,Type-1,c7ce01138e2_3_ASR_pacman_node0
5724,c7ce01138e2_3,FSR,C4Cu2O8,Type-1,c7ce01138e2_3_FSR_pacman_node0
9578,c7ce01176h2_6,FSR,C8Cd2H8N6O10,Type-2,c7ce01176h2_6_FSR_pacman_node0
10889,c7ce01176h2_6,FSR,Cd1H8O4,Type-1,c7ce01176h2_6_FSR_pacman_node1
538,c7ce01195d2_1,ASR,Al1,Type-1,c7ce01195d2_1_ASR_pacman_node0
539,c7ce01195d2_1,FSR,Al1,Type-1,c7ce01195d2_1_FSR_pacman_node0
540,c7ce01195d2_2,ASR,Al1,Type-1,c7ce01195d2_2_ASR_pacman_node0
541,c7ce01195d2_2,FSR,Al1,Type-1,c7ce01195d2_2_FSR_pacman_node0
14859,c7ce01195d2_3,ASR,In1,Type-1,c7ce01195d2_3_ASR_pacman_node0
14860,c7ce01195d2_3,FSR,In1,Type-1,c7ce01195d2_3_FSR_pacman_node0
14861,c7ce01195d2_4,ASR,In1,Type-1,c7ce01195d2_4_ASR_pacman_node0
14862,c7ce01195d2_4,FSR,In1,Type-1,c7ce01195d2_4_FSR_pacman_node0
14863,c7ce01195d2_5,ASR,In1,Type-1,c7ce01195d2_5_ASR_pacman_node0
14864,c7ce01195d2_5,FSR,In1,Type-1,c7ce01195d2_5_FSR_pacman_node0
542,c7ce01195d2_6,ASR,Al1,Type-1,c7ce01195d2_6_ASR_pacman_node0
543,c7ce01195d2_6,FSR,Al1,Type-1,c7ce01195d2_6_FSR_pacman_node0
707,c7ce01216k2_1,ASR,Br2C6Mn3O12,Type-1,c7ce01216k2_1_ASR_pacman_node0
708,c7ce01216k2_1,FSR,Br2C6Mn3O12,Type-1,c7ce01216k2_1_FSR_pacman_node0
709,c7ce01216k2_2,ASR,Br2C6Mn3O12,Type-1,c7ce01216k2_2_ASR_pacman_node0
710,c7ce01216k2_2,FSR,Br2C6Mn3O12,Type-1,c7ce01216k2_2_FSR_pacman_node0
7789,c7ce01216k2_4,ASR,C6Cl2Mn3O12,Type-1,c7ce01216k2_4_ASR_pacman_node0
7790,c7ce01216k2_4,FSR,C6Cl2Mn3O12,Type-1,c7ce01216k2_4_FSR_pacman_node0
8470,c7ce01216k2_5,ASR,C6H2Mn2O13,Type-1,c7ce01216k2_5_ASR_pacman_node0
