cifname,mofid
RUGPAM_FSR_pacman,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)c1ccc(cc1)Nc1ccc(cc1)c1ccncc1 MOFid-v1.sra.cat1;RUGPAM_FSR_pacman
REGXOS_FSR_pacman,O=N(=O)C1=NC=C[N]1.O=N(=O)C1=N[CH]C=N1.[Co] MOFid-v1.rho.cat0;REGXOS_FSR_pacman
RUWZUG_FSR_pacman,[Ni].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-] MOFid-v1.dia.cat0;RUWZUG_FSR_pacman
RAYKEJ_FSR_pacman,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1cccc(c1)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;RAYKEJ_FSR_pacman
RUBTIU_FSR_pacman,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][Sm][OH2] MOFid-v1.UNKNOWN.cat0;RUBTIU_FSR_pacman
RITDEF_FSR_pacman,[Ag].[In].[O-]C(=O)c1ccncc1 MOFid-v1.dia.cat1;RITDEF_FSR_pacman
RORRIC02_FSR_pacman,* MOFid-v1.NA.NA;RORRIC02_FSR_pacman
REXDAB_FSR_pacman,I[Zn]I.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1 MOFid-v1.ths.cat1;REXDAB_FSR_pacman
REGJIW01_FSR_pacman,O=C1C(=O)C(=O)C1=O.[Co].[OH] MOFid-v1.UNKNOWN.cat0;REGJIW01_FSR_pacman
RUYTOW_FSR_pacman,[La].[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-] MOFid-v1.tsg.cat0;RUYTOW_FSR_pacman
ROKROB_FSR_pacman,"[Co]O[Co].[O-]C(=O)c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-] MOFid-v1.ERROR,UNKNOWN.cat0;ROKROB_FSR_pacman"
RUPGAM_FSR_pacman,[Cd].[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-].c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1 MOFid-v1.UNKNOWN.cat1;RUPGAM_FSR_pacman
ROLCEC13_FSR_pacman,[Cu].[O-]C=O MOFid-v1.acs.cat0;ROLCEC13_FSR_pacman
ROKSAO_FSR_pacman,"[Mn]O[Mn].[O-]C(=O)c1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(cc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-] MOFid-v1.pts,UNKNOWN.cat0;ROKSAO_FSR_pacman"
RUCBOJ_FSR_pacman,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][La][OH2] MOFid-v1.UNKNOWN.cat0;RUCBOJ_FSR_pacman
RAYLIO_FSR_pacman,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;RAYLIO_FSR_pacman
RIFDAP_FSR_pacman,[O-]C(=O)CCCC(=O)[O-].[O-]C(=O)c1cnccc1C(=O)[O-].[OH2][Sm][OH2] MOFid-v1.sql.cat0;RIFDAP_FSR_pacman
ROLLOW01_FSR_pacman,O=C1N(c2ccncc2)C(=O)c2c3c1ccc1c3c(cc2)C(=O)N(C1=O)c1ccncc1.[Co][Co].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-] MOFid-v1.pcu.cat1;ROLLOW01_FSR_pacman
ROLCEC18_FSR_pacman,[Cu].[O-]C=O MOFid-v1.acs.cat0;ROLCEC18_FSR_pacman
RAWZEX_FSR_pacman,[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1cc(cc(c1)c1[nH]c2c(n1)cncc2)c1[nH]c2c(n1)ccnc2 MOFid-v1.pcu.cat1;RAWZEX_FSR_pacman
REWSUJ_FSR_pacman,[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ccc(cc1)CN1[CH]C=C(C=C1)C1=C[CH]N(C=C1)Cc1ccc(cc1)C(=O)[O-].[O][Dy] MOFid-v1.ERROR.cat0;REWSUJ_FSR_pacman
RUVSUZ_FSR_pacman,N1=C[N]N([CH]1)Cc1ccc(cc1)CN1[N]C=N[CH]1.[O-]C(=O)c1cccc(c1)C(=O)[O-].[Zn] MOFid-v1.sql.cat1;RUVSUZ_FSR_pacman
RORRIC01_FSR_pacman,* MOFid-v1.NA.NA;RORRIC01_FSR_pacman
RAYMAH_FSR_pacman,O=C(c1ccc(cc1)c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.ERROR.cat0;RAYMAH_FSR_pacman
RIPRIT_FSR_pacman,[Co].[Eu].[O-]C(=O)C1=C([N]N=N1)C(=O)[O-].[O-]C(=O)C1=NN=N[C]1C(=O)[O-].[O-]C=O MOFid-v1.UNKNOWN.cat0;RIPRIT_FSR_pacman
RUXBAP_FSR_pacman,[Ni].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-] MOFid-v1.dia.cat1;RUXBAP_FSR_pacman
RIGZIU_FSR_pacman,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)N1[N]C=N[CH]1)N1[N]C=N[CH]1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)n1ncnc1)N1[N]C=N[CH]1.[OH2][Ni][OH2] MOFid-v1.UNKNOWN.cat0;RIGZIU_FSR_pacman
RORSID04_FSR_pacman,* MOFid-v1.NA.NA;RORSID04_FSR_pacman
